Employee_Name,Position,State,DOB,Sex,MaritalDesc,CitizenDesc,EmploymentStatus,Department,ManagerName,RecruitmentSource,PerformanceScore,EngagementSurvey,SpecialProjectsCount,Absences
"Adinolfi, Wilson  K",Production Technician I,MA,07-10-1983,M ,Single,US Citizen,Active,Production       ,Michael Albert,LinkedIn,Exceeds,4.6,0,1
"Ait Sidi, Karthikeyan   ",Sr. DBA,MA,05-05-1975,M ,Married,US Citizen,Voluntarily Terminated,IT/IS,Simon Roup,Indeed,Fully Meets,4.96,6,17
"Akinkuolie, Sarah",Production Technician II,MA,09/19/88,F,Married,US Citizen,Voluntarily Terminated,Production       ,Kissy Sullivan,LinkedIn,Fully Meets,3.02,0,3
"Alagbe,Trina",Production Technician I,MA,09/27/88,F,Married,US Citizen,Active,Production       ,Elijiah Gray,Indeed,Fully Meets,4.84,0,15
"Anderson, Carol ",Production Technician I,MA,09-08-1989,F,Divorced,US Citizen,Voluntarily Terminated,Production       ,Webster Butler,Google Search,Fully Meets,5,0,2
"Anderson, Linda  ",Production Technician I,MA,05/22/77,F,Single,US Citizen,Active,Production       ,Amy Dunn,LinkedIn,Exceeds,5,0,15
"Andreola, Colby",Software Engineer,MA,05/24/79,F,Single,US Citizen,Active,Software Engineering,Alex Sweetwater,LinkedIn,Fully Meets,3.04,4,19
"Athwal, Sam",Production Technician I,MA,02/18/83,M ,Widowed,US Citizen,Active,Production       ,Ketsia Liebig,Employee Referral,Fully Meets,5,0,19
"Bachiochi, Linda",Production Technician I,MA,02-11-1970,F,Single,US Citizen,Active,Production       ,Brannon Miller,Diversity Job Fair,Fully Meets,4.46,0,4
"Bacong, Alejandro ",IT Support,MA,01-07-1988,M ,Divorced,US Citizen,Active,IT/IS,Peter Monroe,Indeed,Fully Meets,5,6,16
"Baczenski, Rachael  ",Production Technician I,MA,01-12-1974,F,Married,US Citizen,Voluntarily Terminated,Production       ,David Stanley,Diversity Job Fair,Fully Meets,4.2,0,12
"Barbara, Thomas",Production Technician I,MA,02/21/74,M ,Married,US Citizen,Voluntarily Terminated,Production       ,Kissy Sullivan,Diversity Job Fair,Fully Meets,4.2,0,15
"Barbossa, Hector",Data Analyst,TX,07-04-1988,M ,Divorced,US Citizen,Active,IT/IS,Simon Roup,Diversity Job Fair,Exceeds,4.28,5,9
"Barone, Francesco  A",Production Technician I,MA,07/20/83,M ,Single,US Citizen,Active,Production       ,Kelley Spirea,Google Search,Fully Meets,4.6,0,7
"Barton, Nader",Production Technician I,MA,07/15/77,M ,Divorced,US Citizen,Voluntarily Terminated,Production       ,Michael Albert,On-line Web application,Fully Meets,5,0,1
"Bates, Norman",Production Technician I,MA,10/18/81,M ,Single,US Citizen,Terminated for Cause,Production       ,Kelley Spirea,Google Search,Fully Meets,5,0,20
"Beak, Kimberly  ",Production Technician II,MA,04/17/66,F,Married,US Citizen,Active,Production       ,Kelley Spirea,Employee Referral,Exceeds,4.4,0,16
"Beatrice, Courtney ",Production Technician I,MA,10/27/70,F,Single,Eligible NonCitizen,Active,Production       ,Elijiah Gray,Google Search,Fully Meets,5,0,12
"Becker, Renee",Database Administrator,MA,04-04-1986,F,Single,US Citizen,Terminated for Cause,IT/IS,Simon Roup,Google Search,Fully Meets,4.5,5,8
